player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s,minutes,tackles_won_per90,interceptions_per90,fouls_per90,fouled_per90
Mohamed Kanno,MF,Saudi Arabia,31,2.5,5,0,2,4,Group-stage exit,3.0,225,1.6,0.8,2.0,0.0
Mohammad Mohebi,MF,IR Iran,27,2.7,1,1,1,1,Group-stage exit,3.0,243,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37037037037037035
Nasser Al-Dawsari,MF,Saudi Arabia,27,2.3,7,2,4,4,Group-stage exit,3.0,207,1.7391304347826089,1.7391304347826089,3.0434782608695654,0.8695652173913044
Nizar Al Rashdan,MF,Jordan,27,2.8,5,4,2,5,Group-stage exit,3.0,252,1.7857142857142858,0.7142857142857143,1.7857142857142858,1.4285714285714286
Noor Al Rawabdeh,MF,Jordan,29,3.0,1,0,2,7,Group-stage exit,3.0,270,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.0
Otabek Shukurov,MF,Uzbekistan,29,2.6,2,5,0,2,Group-stage exit,3.0,234,0.7692307692307692,0.0,0.7692307692307692,1.923076923076923
Paik Seung-ho,MF,Korea Republic,29,2.3,1,2,1,0,Group-stage exit,3.0,207,0.0,0.4347826086956522,0.4347826086956522,0.8695652173913044
Ramin Rezaeian,"DF,MF",IR Iran,36,3.0,2,3,2,5,Group-stage exit,3.0,270,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0
Rodrigo Bentancur,MF,Uruguay,28,3.0,7,5,7,5,Group-stage exit,3.0,270,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.6666666666666667
Ruben Providence,MF,Haiti,24,2.4,3,5,0,2,Group-stage exit,3.0,216,0.8333333333333334,0.0,1.25,2.0833333333333335
Saeid Ezatolahi,MF,IR Iran,29,2.9,7,4,7,5,Group-stage exit,3.0,261,1.7241379310344829,2.413793103448276,2.413793103448276,1.3793103448275863
Salem Al-Dawsari,MF,Saudi Arabia,34,2.7,3,4,1,1,Group-stage exit,3.0,243,0.37037037037037035,0.37037037037037035,1.111111111111111,1.4814814814814814
Saman Ghoddos,MF,IR Iran,32,2.3,3,0,5,4,Group-stage exit,3.0,207,1.7391304347826089,2.173913043478261,1.3043478260869565,0.0
Sarpreet Singh,MF,New Zealand,27,2.3,2,2,0,1,Group-stage exit,3.0,207,0.4347826086956522,0.0,0.8695652173913044,0.8695652173913044
Scott McTominay,MF,Scotland,29,3.0,3,0,0,2,Group-stage exit,3.0,270,0.6666666666666666,0.0,1.0,0.0
Seol Young-woo,MF,Korea Republic,27,2.8,1,2,1,0,Group-stage exit,3.0,252,0.0,0.35714285714285715,0.35714285714285715,0.7142857142857143
Sherzod Nasrullaev,"DF,MF",Uzbekistan,27,2.0,3,2,2,2,Group-stage exit,3.0,180,1.0,1.0,1.5,1.0
Tahith Chong,MF,Curaçao,26,2.7,3,13,1,0,Group-stage exit,3.0,243,0.0,0.37037037037037035,1.111111111111111,4.814814814814815
Vladimír Coufal,"MF,DF",Czechia,33,3.0,4,3,2,1,Group-stage exit,3.0,270,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.0
Yoel Bárcenas,MF,Panama,32,2.8,3,3,2,0,Group-stage exit,3.0,252,0.0,0.7142857142857143,1.0714285714285714,1.0714285714285714
Zidane Iqbal,MF,Iraq,23,2.1,1,2,1,2,Group-stage exit,3.0,189,0.9523809523809523,0.47619047619047616,0.47619047619047616,0.9523809523809523
Adrien Rabiot,MF,France,31,6.5,13,4,11,7,Knockout stage,8.0,585,1.0769230769230769,1.6923076923076923,2.0,0.6153846153846154
Aiden O'Neill,MF,Australia,27,4.0,2,8,2,2,Knockout stage,4.3,360,0.5,0.5,0.5,2.0
Aleksandar Pavlovic,MF,Germany,22,3.0,13,4,2,3,Knockout stage,4.3,270,1.0,0.6666666666666666,4.333333333333333,1.3333333333333333
Alexander Bernhardsson,MF,Sweden,27,2.4,2,4,2,2,Knockout stage,4.0,216,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.6666666666666667
Alexis Mac Allister,MF,Argentina,27,8.3,9,12,9,12,Knockout stage,9.0,747,1.4457831325301203,1.0843373493975903,1.0843373493975903,1.4457831325301203
Ali Ahmed,MF,Canada,25,2.6,1,5,3,2,Knockout stage,5.0,234,0.7692307692307692,1.1538461538461537,0.3846153846153846,1.923076923076923
Amad Diallo,"MF,FW",Côte d'Ivoire,23,2.1,0,2,2,4,Knockout stage,4.0,189,1.9047619047619047,0.9523809523809523,0.0,0.9523809523809523
Amar Memić,MF,Bosnia–Herz,25,2.5,4,3,2,2,Knockout stage,4.0,225,0.8,0.8,1.6,1.2
Andrés Cubas,MF,Paraguay,30,5.3,14,3,11,13,Knockout stage,5.3,477,2.452830188679245,2.0754716981132075,2.6415094339622645,0.5660377358490566
