player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s
"Johan Manzambi","MF,FW","Switzerland",20,2.2,3,3,0,0,"Knockout stage",6.7
"John Yeboah","MF","Ecuador",25,3.5,0,4,3,3,"Knockout stage",4
"Jordy Bos","MF,DF","Australia",23,3.4,4,4,3,3,"Knockout stage",4.3
"Josip Stanišić","DF,MF","Croatia",26,4,0,4,5,2,"Knockout stage",4
"Jude Bellingham","MF","England",22,6.8,9,17,3,10,"Knockout stage",8.3
"Julián Quiñones","FW,MF","Mexico",29,4.6,5,7,0,0,"Knockout stage",5
"Junya Itō","MF","Japan",33,2.4,2,5,1,2,"Knockout stage",4
"Kaishū Sano","MF","Japan",25,3,4,1,4,2,"Knockout stage",4
"Keito Nakamura","MF","Japan",25,3.4,3,1,1,3,"Knockout stage",4
"Kerim Alajbegović","MF","Bosnia–Herz",18,3.1,4,6,2,0,"Knockout stage",4
"Kevin De Bruyne","MF","Belgium",34,4.2,2,4,0,2,"Knockout stage",6.3
"Kevin Pina","MF","Cabo Verde",29,3.9,5,3,3,7,"Knockout stage",4.3
"Konrad Laimer","MF,DF","Austria",29,4,6,3,2,6,"Knockout stage",4
"Kwasi Sibo","MF","Ghana",27,2.8,7,1,2,0,"Knockout stage",4
"Lamine Camara","MF","Senegal",22,2.8,5,3,2,1,"Knockout stage",4.3
"Lamine Yamal","MF,FW","Spain",18,6.8,14,9,2,9,"Knockout stage",8.3
"Leandro Paredes","MF","Argentina",31,5.3,9,3,5,6,"Knockout stage",9
"Leandro Trossard","MF,FW","Belgium",31,5.6,4,8,4,1,"Knockout stage",6.3
"Leroy Sané","MF","Germany",30,3.6,3,2,2,3,"Knockout stage",4.3
"Lucas Bergvall","MF","Sweden",20,2,7,4,2,2,"Knockout stage",4
"Lucas Paquetá","MF","Brazil",28,2.6,3,6,5,4,"Knockout stage",5
"Luis Díaz","FW,MF","Colombia",29,5.3,7,9,1,0,"Knockout stage",5.3
"Luis Romo","MF","Mexico",31,2.9,1,3,4,4,"Knockout stage",5
"Luka Modrić","MF","Croatia",40,3.5,4,3,0,3,"Knockout stage",4
"Malik Tillman","MF","USA",24,4,3,13,5,7,"Knockout stage",5
"Manu Koné","MF","France",25,4.3,6,7,3,5,"Knockout stage",8
"Marcel Sabitzer","MF","Austria",32,4,2,3,6,2,"Knockout stage",4
"Marcus Rashford","MF","England",28,2.5,5,1,0,2,"Knockout stage",8.3
"Martin Baturina","MF,FW","Croatia",23,3.6,1,14,1,2,"Knockout stage",4
"Martin Ødegaard","MF","Norway",27,5.2,3,4,3,4,"Knockout stage",6.3
"Marwan Attia","MF","Egypt",27,4.8,8,1,3,3,"Knockout stage",5.3
"Mateo Kovačić","MF","Croatia",32,3,3,3,2,3,"Knockout stage",4
"Matías Galarza","MF","Paraguay",24,4.3,10,9,7,11,"Knockout stage",5.3
"Michael Olise","MF","France",24,7.2,5,16,3,8,"Knockout stage",8
"Micky van de Ven","DF,MF","Netherlands",25,2.9,5,1,2,3,"Knockout stage",4.3
"Miguel Almirón","MF,FW","Paraguay",32,3.1,2,7,3,7,"Knockout stage",5.3
"Mikel Merino","MF","Spain",29,2.2,6,8,3,2,"Knockout stage",8.3
"Mohamed Salah","FW,MF","Egypt",33,4.7,5,13,2,0,"Knockout stage",5.3
"Mohanad Lasheen","MF","Egypt",30,4,5,3,8,11,"Knockout stage",5.3
"Moisés Caicedo","MF","Ecuador",24,4,5,4,4,6,"Knockout stage",4
"Morgan Rogers","MF","England",23,3.8,5,5,0,3,"Knockout stage",8.3
"Mostafa Ziko","FW,MF","Egypt",29,4.1,6,5,2,4,"Knockout stage",5.3
"Nabil Bentaleb","MF","Algeria",31,3.2,2,3,3,4,"Knockout stage",4
"Nathan Saliba","MF","Canada",22,2,5,2,4,4,"Knockout stage",5
"Neil El Aynaoui","MF","Morocco",24,6.2,15,7,8,9,"Knockout stage",6.3
"Nestory Irankunda","FW,MF","Australia",20,2.9,4,5,1,0,"Knockout stage",4.3
"Ngal'Ayel Mukau","MF","Congo DR",21,2.2,3,4,3,2,"Knockout stage",4
"Nicolás González","MF","Argentina",28,2.9,4,3,1,3,"Knockout stage",9
"Nicolas Raskin","MF","Belgium",25,3.8,12,3,2,5,"Knockout stage",6.3
"Nicolas Seiwald","MF","Austria",25,3.5,1,1,4,5,"Knockout stage",4
"Nikola Vlašić","MF","Croatia",28,2.1,5,0,1,2,"Knockout stage",4
"Nilson Angulo","MF","Ecuador",22,2.4,4,3,2,1,"Knockout stage",4
"Noah Sadiki","MF","Congo DR",21,2.9,2,3,2,4,"Knockout stage",4
"Noni Madueke","MF","England",24,3.2,2,3,2,4,"Knockout stage",8.3
"Omar Marmoush","FW,MF","Egypt",27,3.6,3,8,2,3,"Knockout stage",5.3
"Oswin Appollis","MF,FW","South Africa",24,2.8,1,2,1,3,"Knockout stage",4
"Ousmane Dembélé","MF","France",29,6.6,0,4,0,2,"Knockout stage",8
"Pape Gueye","MF","Senegal",27,2.6,4,2,4,1,"Knockout stage",4.3
"Patrick Berg","MF","Norway",28,4.9,4,2,2,7,"Knockout stage",6.3
"Paul Okon-Engstler","MF","Australia",21,2.2,3,2,5,2,"Knockout stage",4.3
"Paul Wanner","MF","Austria",20,2.6,4,2,2,1,"Knockout stage",4
"Pedri","MF","Spain",23,5.5,4,5,10,8,"Knockout stage",8.3
"Pedro Neto","MF","Portugal",26,3.9,4,4,0,2,"Knockout stage",5
"Pedro Vite","MF","Ecuador",24,4,2,5,5,11,"Knockout stage",4
"Petar Sučić","MF,FW","Croatia",22,3.2,7,6,1,2,"Knockout stage",4
"Rayan","FW,MF","Brazil",19,3.2,5,4,3,4,"Knockout stage",5
"Remo Freuler","MF","Switzerland",34,6.6,8,3,8,5,"Knockout stage",6.7
"Ritsu Doan","MF","Japan",27,3.1,6,4,1,1,"Knockout stage",4
